Name	Appears in	Start Page	End Page	AFTFL Refs #	ARTFL linlk	Dates Appears in the Comedy
Descoings, Monsieur And Madame	A Bachelor's Establishment::					
Desfondrilles	Pierrette::					
Deslandes	The Lily Of The Valley::					
Desmarets	The Thirteen::					
Desmarets, Jules	Cesar Birotteau::					
Desmarets, Madame Jules	Cesar Birotteau::					
Desplein						
Desroches	A Bachelor's Establishment::					
Desroches	A Bachelor's Establishment::					
Desroches, Madame	The Firm Of Nucingen::					
Desroys	The Government Clerks::					
Desroziers	The Member For Arcis::					
Desroziers	The Muse Of The Department::					
Dey, Auguste, Comte De	The Conscript::					
Dey, Comtesse De	The Conscript::					
Diard, Francisque	The Maranas::					
Diard, Juan	The Maranas::					
Diard, Maria-Juana-Pepita	The Maranas::					
Diard, Pierre-Francois	The Maranas::					
Diaz, Jan						
Diodati	Albert Savarus::					
Dionis	The Member For Arcis::					
Doguereau	A Distinguished Provincial At Paris::					
Doisy	The Lily Of The Valley::					
Dominis, Abbe De	The Lily Of The Valley::					
Dommanget	Beatrix::					
Doni, Massimilla	See Varese, Princesse De::					
Dorlange, Charles						
Dorsonval, Madame	Eugenie Grandet::					
Doublon, Victor-Ange-Hermenegilde	Lost Illusions::					
Duberghe	The Firm Of Nucinge					
Dubourdieu	The Unconscious Humorists::					
Dubut of Caen	The Seamy Side Of History::					
Ducange, Victor	A Distinguished Provincial At Paris::					
Dudley, Lady Arabella	Letters Of Two Brides::					
Dudley, Lord	A Daughter Of Eve::					
Dufau	The Country Doctor::					
Dufaure, Jules-Armand-Stanislaus	Louis Lambert::					
Dumay, Anne-Francois-Bernard	Modeste Mignon::					
Dumay, Madame	Modeste Mignon::					
Dupetit-Mere, Frederic	A Distinguished Provincial At Paris::					
Duplanty, Abbe	Cousin Pons::					
Duplay, Madame	A Bachelor's Establishment::					
Dupotet	A Seaside Tragedy::					
Dupuis	The Middle Classes::					
Dupuis, Adele	A Distinguished Provincial At Paris::					
Durand						
Duret, Abbe	The Muse Of The Department::					
Duriau	The Muse Of The Department::					
Durieu	The Gondreville Mystery::					
Duroc, Gerard-Christophe-Michel	A Woman Of Thirty::					
Durut, Jean-Francois	Scenes From A Courtesan's Life::					
Dutheil, Abbe	The Country Parson::					
Dutocq	The Middle Classes::					
Duval	Jealousies Of A Country Town::					
Duval	Cousin Betty::					
Duvignon	See Lanty, De::					
Duvivier	La Grande Breteche::					
Emile	The Middle Classes::					
